i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 
1 0.005067348480224609 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.591660499572754 0 0 0 0 0 0 
2 0.010992765426635742 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.591660499572754 0 0 0 0 0 0 
3 0.016448259353637695 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.591660499572754 0 0 0 0 0 0 
4 0.021866559982299805 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.591660499572754 0 0 0 0 0 0 
5 0.02729940414428711 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.591660499572754 0 0 0 0 0 0 
6 0.03265643119812012 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.591660499572754 0 0 0 0 0 0 
7 0.03805375099182129 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
8 0.04350852966308594 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
9 0.04888463020324707 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
10 0.054175615310668945 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
11 0.05946159362792969 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
12 0.06488609313964844 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05349758267402649 2.5914688110351562 0 0 0 0 0 0 
13 0.0702512264251709 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
14 0.07583880424499512 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5918524265289307 0 0 0 0 0 0 
15 0.08161711692810059 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5918524265289307 0 0 0 0 0 0 
16 0.08739018440246582 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
17 0.09286618232727051 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
18 0.09892439842224121 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
19 0.1044306755065918 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
20 0.1098628044128418 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
21 0.11534523963928223 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
22 0.12068033218383789 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
23 0.12603187561035156 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
24 0.13138866424560547 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
25 0.1367018222808838 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
26 0.14211344718933105 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.5914688110351562 0 0 0 0 0 0 
27 0.14756560325622559 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.5914688110351562 0 0 0 0 0 0 
28 0.15293073654174805 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
29 0.15837836265563965 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
30 0.16372299194335938 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
31 0.169158935546875 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
32 0.17448163032531738 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
33 0.1798248291015625 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
34 0.18511247634887695 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
35 0.19047164916992188 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
36 0.19582700729370117 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
37 0.20122194290161133 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
38 0.20659852027893066 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.05330583453178406 2.591660499572754 0 0 0 0 0 0 
39 0.2119889259338379 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
40 0.21740055084228516 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
41 0.22283434867858887 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
42 0.22873425483703613 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
43 0.23413944244384766 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
44 0.2395038604736328 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
45 0.24483728408813477 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
46 0.2501199245452881 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
47 0.25547218322753906 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
48 0.26080965995788574 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1120636463165283 -0.053114086389541626 2.591660499572754 0 0 0 0 0 0 
