i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 enc_pos_1 enc_pos_2 enc_pos_3 
1 0.00506901741027832 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 0 0 
2 0.010969161987304688 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 0 0 
3 0.01655435562133789 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 0 0 
4 0.021936416625976562 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 -1 1 
5 0.02730584144592285 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 -3 4 
6 0.03270363807678223 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.8900198936462402 0 0 0 0 0 0 0 -7 8 
7 0.0380246639251709 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.8898282051086426 0 0 0 0 0 0 0 -12 14 
8 0.04340219497680664 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.889636278152466 0 0 0 0 0 0 0 -19 21 
9 0.04879450798034668 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.889636278152466 0 0 0 0 0 0 0 -27 30 
10 0.05413103103637695 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.8898282051086426 0 0 0 0 0 0 0 -36 41 
11 0.059441328048706055 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05330583453178406 -2.8900198936462402 0 0 0 0 0 0 0 -46 53 
12 0.06477189064025879 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05330583453178406 -2.8904032707214355 0 0 0 0 0 0 0 -57 65 
13 0.07014822959899902 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05330583453178406 -2.89078688621521 0 0 0 0 0 0 0 -70 78 
14 0.07550358772277832 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05349758267402649 -2.8909785747528076 0 0 0 0 0 0 0 -85 95 
15 0.0808408260345459 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05368933081626892 -2.89078688621521 0 0 0 0 0 0 0 -99 110 
16 0.08629631996154785 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 -129 142 
17 0.0916590690612793 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8898282051086426 0 0 0 0 0 0 0 -147 160 
18 0.09701228141784668 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05330583453178406 -2.889636278152466 0 0 0 0 0 0 0 -166 180 
19 0.10241842269897461 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05330583453178406 -2.8898282051086426 0 0 0 0 0 0 0 -186 200 
20 0.10774993896484375 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05330583453178406 -2.8900198936462402 0 0 0 0 0 0 0 -207 222 
21 0.11307454109191895 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 -233 249 
22 0.11835503578186035 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.8900198936462402 0 0 0 0 0 0 0 -254 270 
23 0.12366771697998047 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.8900198936462402 0 0 0 0 0 0 0 -276 293 
24 0.12895989418029785 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05368933081626892 -2.8900198936462402 0 0 0 0 0 0 0 -299 316 
25 0.13428115844726562 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 -322 340 
26 0.13962507247924805 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05349758267402649 -2.8900198936462402 0 0 0 0 0 0 0 -348 367 
27 0.14497733116149902 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05330583453178406 -2.8900198936462402 0 0 0 0 0 0 0 -374 394 
28 0.15037822723388672 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.053114086389541626 -2.8900198936462402 0 0 0 0 0 0 0 -402 422 
29 0.15571308135986328 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05349758267402649 -2.8898282051086426 0 0 0 0 0 0 0 -435 457 
30 0.1610865592956543 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.053881075233221054 -2.888869285583496 0 0 0 0 0 0 0 -489 513 
31 0.16637229919433594 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126636505126953 -0.054072823375463486 -2.889061212539673 0 0 0 0 0 0 0 -516 541 
32 0.1717069149017334 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1264445781707764 -0.05426457151770592 -2.8898282051086426 0 0 0 0 0 0 0 -545 572 
33 0.17702460289001465 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.126061201095581 -0.05464806780219078 -2.8905951976776123 0 0 0 0 0 0 0 -575 604 
34 0.18294405937194824 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05464806780219078 -2.8909785747528076 0 0 0 0 0 0 0 -606 636 
35 0.18845772743225098 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1256775856018066 -0.05464806780219078 -2.8909785747528076 0 0 0 0 0 0 0 -637 669 
36 0.1938784122467041 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.053881075233221054 -2.8911702632904053 0 0 0 0 0 0 0 -667 701 
37 0.19924259185791016 1 0 0 0.0 -0.8164965809277259 0.8164965809277259 -3.1258695125579834 -0.05330583453178406 -2.8909785747528076 0 0 0 0 0 0 0 -702 737 
