i t roll_deg pitch_deg yaw_deg
0 0.010090112686157227 0.0 0.0 0.0
1 0.0204770565032959 0.0 0.0 0.0
2 0.03070664405822754 0.0 0.0 0.0
3 0.04092550277709961 0.0 0.0 0.0
4 0.05112433433532715 0.0 0.0 0.0
5 0.06129574775695801 0.0 0.0 0.0
6 0.07146835327148438 0.0 0.0 0.0
7 0.08172297477722168 0.0 0.0 0.0
8 0.09191727638244629 0.0 0.0 0.0
9 0.10209536552429199 0.0 0.0 0.0
10 0.1123051643371582 0.0 0.0 0.0
11 0.12254643440246582 0.0 0.0 0.0
12 0.13309359550476074 0.0 0.0 0.0
13 0.1433100700378418 0.0 0.0 0.0
14 0.15349745750427246 0.0 0.0 0.0
15 0.1636648178100586 0.0 0.0 0.0
16 0.17387771606445312 0.0 0.0 0.0
17 0.18408536911010742 0.0 0.0 0.0
18 0.1942451000213623 0.0 0.0 0.0
19 0.20443010330200195 0.0 0.0 0.0
20 0.2146453857421875 0.0 0.0 0.0
21 0.22480344772338867 0.0 0.0 0.0
22 0.23494648933410645 0.0 0.0 0.0
23 0.2451026439666748 0.0 0.0 0.0
24 0.2552981376647949 0.0 0.0 0.0
25 0.2655518054962158 0.0 0.0 0.0
26 0.2757222652435303 0.0 0.0 0.0
27 0.28589963912963867 0.0 0.0 0.0
28 0.29606175422668457 0.0 0.0 0.0
29 0.30622005462646484 0.0 0.0 0.0
30 0.3163774013519287 0.0 0.0 0.0
31 0.32654523849487305 0.0 0.0 0.0
32 0.3367040157318115 0.0 0.0 0.0
33 0.3468599319458008 0.0 0.0 0.0
34 0.3570582866668701 0.0 0.0 0.0
35 0.3672475814819336 0.0 0.0 0.0
36 0.3774070739746094 0.0 0.0 0.0
37 0.38758206367492676 0.0 0.0 0.0
38 0.3977324962615967 0.0 0.0 0.0
39 0.40789031982421875 0.0 0.0 0.0
40 0.4181225299835205 0.0 0.0 0.0
41 0.4282872676849365 0.0 0.0 0.0
42 0.4385037422180176 0.0 0.0 0.0
43 0.448671817779541 0.0 0.0 0.0
44 0.45882177352905273 0.0 0.0 0.0
45 0.4690124988555908 0.0 0.0 0.0
46 0.4794001579284668 0.0 0.0 0.0
47 0.4895601272583008 0.0 0.0 0.0
48 0.49974918365478516 0.0 0.0 0.0
49 0.5101642608642578 0.0 0.0 0.0
50 0.5204062461853027 0.0 0.0 0.0
51 0.5306191444396973 0.0 0.0 0.0
52 0.5408148765563965 0.0 0.0 0.0
53 0.5509960651397705 0.0 0.0 0.0
54 0.5611839294433594 0.0 0.0 0.0
55 0.5714073181152344 0.0 0.0 0.0
56 0.5815954208374023 0.0 0.0 0.0
57 0.5917727947235107 0.0 0.0 0.0
58 0.6029751300811768 0.0 0.0 0.0
59 0.6132910251617432 0.0 0.0 0.0
60 0.6235404014587402 0.0 0.0 0.0
61 0.6338150501251221 0.0 0.0 0.0
62 0.6440248489379883 0.0 0.0 0.0
63 0.6542730331420898 0.0 0.0 0.0
64 0.6645212173461914 0.0 0.0 0.0
65 0.6747879981994629 0.0 0.0 0.0
66 0.6851634979248047 0.0 0.0 0.0
67 0.6956632137298584 0.0 0.0 0.0
68 0.7058761119842529 0.0 0.0 0.0
69 0.7165942192077637 0.0 0.0 0.0
70 0.7267975807189941 0.0 0.0 0.0
71 0.7369773387908936 0.0 0.0 0.0
72 0.7471432685852051 0.0 0.0 0.0
73 0.7573022842407227 0.0 0.0 0.0
74 0.7674498558044434 0.0 0.0 0.0
75 0.7776961326599121 0.0 0.0 0.0
76 0.7878477573394775 0.0 0.0 0.0
77 0.7979600429534912 0.0 0.0 0.0
78 0.8080852031707764 0.0 0.0 0.0
79 0.8181986808776855 0.0 0.0 0.0
80 0.82843017578125 0.0 0.0 0.0
81 0.8385875225067139 0.0 0.0 0.0
82 0.8487021923065186 0.0 0.0 0.0
83 0.8588409423828125 0.0 0.0 0.0
84 0.8689770698547363 0.0 0.0 0.0
85 0.8791117668151855 0.0 0.0 0.0
86 0.8892474174499512 0.0 0.0 0.0
87 0.8993535041809082 0.0 0.0 0.0
88 0.909498929977417 0.0 0.0 0.0
89 0.9196209907531738 0.0 0.0 0.0
90 0.9297375679016113 0.0 0.0 0.0
91 0.9398412704467773 0.0 0.0 0.0
92 0.9499518871307373 0.0 0.0 0.0
93 0.96006178855896 0.0 0.0 0.0
94 0.9701647758483887 0.0 0.0 0.0
95 0.9802770614624023 0.0 0.0 0.0
96 0.9904317855834961 0.0 0.0 0.0
97 1.0005404949188232 0.0 0.0 0.0
98 1.010664939880371 -0.01098635927996551 0.02197271855993102 0.0
99 1.020763635635376 -0.032958971118190745 0.04394543711986204 0.0
100 1.03086256980896 -0.043945330398156256 0.06591815567979306 0.0
101 1.040954351425171 -0.076904301516347 0.06591815567979306 0.02197271855993102
102 1.0510492324829102 -0.08789066079631251 0.06591815567979306 0.08789087423972408
103 1.061155080795288 -0.12084963191450326 0.07690451495975857 0.16479880429406765
104 1.0712873935699463 -0.13183588447276298 0.07690451495975857 0.18677152285399867
105 1.0814120769500732 -0.12084963191450326 0.08789087423972408 0.2307169599738607
106 1.0915613174438477 -0.09887691335457224 0.09887723351968959 0.24169990415924122
107 1.1017003059387207 -0.09887691335457224 0.09887723351968959 0.24169990415924122
108 1.1118559837341309 -0.09887691335457224 0.09887723351968959 0.27466239709372275
109 1.1219966411590576 -0.09887691335457224 0.09887723351968959 0.29663511565365375
110 1.132131814956665 -0.08789066079631251 0.09887723351968959 0.28564534127910324
111 1.1422450542449951 -0.08789066079631251 0.09887723351968959 0.27466239709372275
112 1.1523563861846924 -0.08789066079631251 0.09887723351968959 0.28564534127910324
113 1.1624629497528076 -0.08789066079631251 0.09887723351968959 0.28564534127910324
114 1.1725733280181885 -0.08789066079631251 0.09887723351968959 0.28564534127910324
115 1.1826846599578857 -0.08789066079631251 0.09887723351968959 0.28564534127910324
116 1.1931471824645996 -0.076904301516347 0.08789087423972408 0.28564534127910324
117 1.2032856941223145 -0.05493158295641599 0.06591815567979306 0.29663511565365375
118 1.2134110927581787 -0.043945330398156256 0.05493179639982755 0.29663511565365375
119 1.2235298156738281 -0.02197261183822524 0.04394543711986204 0.28564534127910324
120 1.2336392402648926 -0.01098635927996551 0.05493179639982755 0.28564534127910324
121 1.2437448501586914 0.01098635927996551 0.06591815567979306 0.27466239709372275
122 1.2538516521453857 0.0 0.08789087423972408 0.26367262271917224
123 1.264021635055542 -0.01098635927996551 0.07690451495975857 0.26367262271917224
124 1.274132251739502 -0.01098635927996551 0.08789087423972408 0.25268967853379176
125 1.2842488288879395 0.0 0.09887723351968959 0.26367262271917224
126 1.2943534851074219 0.0 0.09887723351968959 0.27466239709372275
127 1.3044910430908203 0.0 0.08789087423972408 0.29663511565365375
128 1.3146133422851562 0.0 0.08789087423972408 0.3295907783989653
129 1.3247320652008057 0.0 0.08789087423972408 0.3515634969588963
130 1.3348431587219238 0.01098635927996551 0.08789087423972408 0.3515634969588963
131 1.3449597358703613 0.01098635927996551 0.08789087423972408 0.3405805527735158
132 1.3550622463226318 -0.01098635927996551 0.07690451495975857 0.3405805527735158
133 1.36517333984375 -0.01098635927996551 0.07690451495975857 0.3405805527735158
134 1.3752868175506592 -0.02197261183822524 0.07690451495975857 0.3295907783989653
135 1.385439157485962 -0.02197261183822524 0.08789087423972408 0.3076180598390343
136 1.395545244216919 -0.01098635927996551 0.09887723351968959 0.3076180598390343
137 1.4056727886199951 -0.01098635927996551 0.09887723351968959 0.3186078342135848
138 1.4157764911651611 -0.01098635927996551 0.09887723351968959 0.3405805527735158
139 1.4258852005004883 0.0 0.1098635927996551 0.3405805527735158
140 1.435978651046753 0.01098635927996551 0.12084995207962061 0.3186078342135848
141 1.4460856914520264 0.0 0.1098635927996551 0.29663511565365375
142 1.4561848640441895 0.0 0.1098635927996551 0.28564534127910324
143 1.466278076171875 0.0 0.1098635927996551 0.28564534127910324
144 1.4763720035552979 0.0 0.1098635927996551 0.29663511565365375
145 1.486478567123413 0.0 0.1098635927996551 0.29663511565365375
146 1.49658203125 0.0 0.1098635927996551 0.29663511565365375
147 1.506725549697876 0.0 0.1098635927996551 0.29663511565365375
148 1.5168333053588867 0.0 0.12084995207962061 0.29663511565365375
149 1.526939868927002 0.0 0.12084995207962061 0.29663511565365375
150 1.5370373725891113 0.0 0.1098635927996551 0.29663511565365375
151 1.5471265316009521 0.0 0.1098635927996551 0.29663511565365375
152 1.5572164058685303 0.0 0.12084995207962061 0.29663511565365375
153 1.5673096179962158 0.0 0.12084995207962061 0.29663511565365375
154 1.5773987770080566 -0.01098635927996551 0.12084995207962061 0.29663511565365375
155 1.587489366531372 -0.01098635927996551 0.12084995207962061 0.29663511565365375
156 1.5976250171661377 -0.01098635927996551 0.12084995207962061 0.29663511565365375
157 1.6077775955200195 -0.01098635927996551 0.1098635927996551 0.28564534127910324
158 1.6179113388061523 -0.01098635927996551 0.1098635927996551 0.27466239709372275
159 1.6280345916748047 -0.01098635927996551 0.1098635927996551 0.25268967853379176
160 1.6381540298461914 -0.01098635927996551 0.1098635927996551 0.2307169599738607
161 1.6482651233673096 -0.01098635927996551 0.1098635927996551 0.2087442414139297
162 1.6583654880523682 -0.01098635927996551 0.1098635927996551 0.18677152285399867
163 1.6684660911560059 -0.01098635927996551 0.1098635927996551 0.17578174847944816
164 1.6785650253295898 -0.01098635927996551 0.09887723351968959 0.16479880429406765
165 1.6887309551239014 0.0 0.09887723351968959 0.16479880429406765
166 1.6988823413848877 0.0 0.08789087423972408 0.16479880429406765
167 1.7090327739715576 0.0 0.08789087423972408 0.14282608573413663
168 1.7191665172576904 0.0 0.08789087423972408 0.12085336717420561
169 1.7292828559875488 0.01098635927996551 0.09887723351968959 0.08789087423972408
170 1.7393953800201416 0.0 0.09887723351968959 0.04394543711986204
171 1.7495064735412598 0.0 0.09887723351968959 0.0
172 1.759620189666748 0.0 0.09887723351968959 -0.032955662745311524
173 1.7697441577911377 0.0 0.09887723351968959 -0.054928381305242545
174 1.7798526287078857 0.0 0.09887723351968959 -0.07690109986517356
175 1.7899551391601562 0.0 0.08789087423972408 -0.09887381842510458
176 1.8000705242156982 -0.01098635927996551 0.08789087423972408 -0.1098635927996551
177 1.810183048248291 -0.01098635927996551 0.08789087423972408 -0.13183631135958612
178 1.820314645767212 -0.01098635927996551 0.08789087423972408 -0.14281925554496663
179 1.8304617404937744 -0.01098635927996551 0.08789087423972408 -0.14281925554496663
180 1.8405826091766357 -0.01098635927996551 0.1098635927996551 -0.14281925554496663
181 1.8506927490234375 -0.01098635927996551 0.12084995207962061 -0.14281925554496663
182 1.8608500957489014 -0.01098635927996551 0.13183631135958612 -0.14281925554496663
183 1.8709540367126465 -0.01098635927996551 0.1428222437527285 -0.13183631135958612
184 1.8810696601867676 -0.032958971118190745 0.16479496231265953 -0.1208465369850356
185 1.8911798000335693 -0.043945330398156256 0.20874039943252157 -0.09887381842510458
186 1.9012823104858398 -0.08789066079631251 0.2307131179924526 -0.08789087423972408
187 1.9113917350769043 -0.17578121487091924 0.24169947727241808 -0.1098635927996551
188 1.9215261936187744 -0.285644487505457 0.21972675871248706 -0.13183631135958612
189 1.9316422939300537 -0.439453090538151 0.16479496231265953 -0.17578174847944816
190 1.9417707920074463 -0.615234412130776 0.08789087423972408 -0.23071012978469072
191 1.9518823623657227 -0.845947316679817 0.0 -0.27465556690455273
192 1.9619812965393066 -1.1206054449053087 -0.09887680663286647 -0.31860100402441477
193 1.9720804691314697 -1.4282226509706966 -0.20873997254569843 -0.3515634969588963
194 1.982187032699585 -1.7687989348759812 -0.29663063334201095 -0.3735362155188273
195 1.9922990798950195 -2.0983886460578884 -0.3845212941383235 -0.3625464411442768
196 2.0024259090423584 -2.395019706286723 -0.43945287709473946 -0.3405737225843458
197 2.012537717819214 -2.669677834512214 -0.4833983142146015 -0.28564534127910324
198 2.0226798057556152 -2.911376884897809 -0.5163571786110864 -0.2197271855993102
199 2.0327978134155273 -3.120117284330331 -0.5383298971710175 -0.15380902991951714
200 2.0429112911224365 -3.2849122466429903 -0.5603026157309485 -0.07690109986517356
201 2.0530214309692383 -3.394775412555822 -0.5822751208474679 0.0
202 2.063127040863037 -3.4606935682356155 -0.5932614801274335 0.06591815567979306
203 2.0732295513153076 -3.4826662867955465 -0.6152341986873645 0.12085336717420561
204 2.083348512649536 -3.4716799275155807 -0.6372069172472955 0.17578174847944816
205 2.093451499938965 -3.416748131115753 -0.648193276527261 0.2087442414139297
206 2.1035635471343994 -3.3288576837628523 -0.659179422363815 0.2197271855993102
207 2.1136815547943115 -3.2299804502431626 -0.681152140923746 0.2307169599738607
208 2.1238274574279785 -3.0981445657704 -0.6921385002037115 0.2197271855993102
209 2.1339476108551025 -2.9443359627377057 -0.7141112187636425 0.19775446703937918
210 2.1440610885620117 -2.7795410004250463 -0.7470700831601275 0.16479880429406765
211 2.1541688442230225 -2.592773319552456 -0.7690428017200585 0.13183631135958612
212 2.1642727851867676 -2.384033347006757 -0.8129880253965089 0.07690793005434357
213 2.1743719577789307 -2.16430658829427 -0.8459471032364055 0.02197271855993102
214 2.1844775676727295 -1.9226075379086751 -0.9008786861928215 -0.04394543711986204
215 2.1945838928222656 -1.669921914799703 -0.933837764032718 -0.1098635927996551
216 2.204709053039551 -1.417236291690731 -0.9777829877091685 -0.16479197410489765
217 2.215488910675049 -1.1755370278617245 -1.010742065549065 -0.23071012978469072
218 2.2256336212158203 -0.9338379774761296 -1.0546872892255155 -0.27465556690455273
219 2.235750198364258 -0.7031250729270886 -1.087646367065412 -0.3295907783989653
220 2.2458789348602295 -0.494384673494567 -1.1315915907418626 -0.3735362155188273
221 2.2559895515441895 -0.32958981790361325 -1.164550668581759 -0.41748165263868936
222 2.2660956382751465 -0.20874018598911 -1.197509532978244 -0.4394543711986204
223 2.276216983795166 -0.153808603032694 -1.2304686108181406 -0.4614270897585514
224 2.286330223083496 -0.153808603032694 -1.2634276886580371 -0.48339980831848245
225 2.2964553833007812 -0.17578121487091924 -1.296386553054522 -0.49438275250386293
226 2.3065671920776367 -0.2197265452690755 -1.3293456308944185 -0.49438275250386293
227 2.316699743270874 -0.24169926382900653 -1.3623044952909036 -0.47241003394393194
228 2.3268489837646484 -0.23071290454904103 -1.3842772138508346 -0.4504373153840009
229 2.3370325565338135 -0.16479496231265953 -1.4172360782473195 -0.39550893407875837
230 2.347235918045044 -0.032958971118190745 -1.4062499324107656 -0.31860100402441477
231 2.357401132583618 0.2087402927108158 -1.351318136010938 -0.2087374112247597
232 2.367558002471924 0.5493164165335417 -1.164550668581759 -0.06591815567979306
233 2.3777308464050293 0.9338379241152767 -0.83496074395644 0.07690793005434357
234 2.3879129886627197 1.3183594233593785 -0.45043923637470495 0.2307169599738607
235 2.3980631828308105 1.7028809125983204 -0.07690408807293544 0.38452598989337783
236 2.4081854820251465 2.0983887527795946 0.2966308467854225 0.5273452454383445
237 2.418300151824951 0.615234412130776 0.5603030426177716 0.7031269939177927
238 2.4284183979034424 0.23071290454904103 -0.373534934858358 1.010745053756827
239 2.4385554790496826 0.3625488957435098 -0.17578110814921347 1.2524449579160681
240 2.448668956756592 0.16479496231265953 -0.1428222437527285 1.3952642134610347
241 2.4587676525115967 -0.7580566558835046 0.3625490024652156 1.768800428979862
242 2.468869209289551 -0.878906181076302 0.26367219583234913 1.9885276145791724
243 2.4789648056030273 -0.32958981790361325 0.6262207714107416 2.197265025803932
244 2.489074230194092 0.043945330398156256 -0.06591772879296993 2.2961456744182067
245 2.4991796016693115 0.2197265452690755 0.31860356534535356 2.3620638300979997
246 2.5092849731445312 0.47241211501719466 0.2856449143922801 2.37304677428338
247 2.5193896293640137 0.4064941727808132 0.20874039943252157 2.416992211403242
248 2.5295042991638184 0.27465823494719727 0.21972675871248706 2.416992211403242
249 2.539637327194214 0.307617206065388 0.18676768087259055 2.3400911115380687
250 2.5497524738311768 0.32958981790361325 0.17578132159262502 2.2522002372983447
251 2.5598621368408203 0.3405761771835788 0.17578132159262502 2.175292307244001
252 2.5714495182037354 0.3405761771835788 0.18676768087259055 2.0874014330042767
253 2.5815980434417725 0.307617206065388 0.18676768087259055 2.0654287144443457
254 2.5917437076568604 0.307617206065388 0.17578132159262502 2.0434559958844147
255 2.6018905639648438 0.2966308467854225 0.16479496231265953 2.0324730516990344
256 2.6120235919952393 0.307617206065388 0.18676768087259055 2.0324730516990344
257 2.622128486633301 0.2966308467854225 0.18676768087259055 2.0434559958844147
258 2.6322460174560547 0.307617206065388 0.18676768087259055 2.0544457702589654
259 2.642378091812134 0.307617206065388 0.18676768087259055 2.0654287144443457
260 2.6524806022644043 0.307617206065388 0.18676768087259055 2.0654287144443457
261 2.6625938415527344 0.307617206065388 0.18676768087259055 2.0654287144443457
262 2.6726911067962646 0.307617206065388 0.18676768087259055 2.0654287144443457
263 2.6828010082244873 0.307617206065388 0.18676768087259055 2.0654287144443457
264 2.692939519882202 0.307617206065388 0.19775404015255604 2.0654287144443457
265 2.703073024749756 0.307617206065388 0.19775404015255604 2.0654287144443457
266 2.7131807804107666 0.307617206065388 0.19775404015255604 2.0654287144443457
267 2.723283529281616 0.307617206065388 0.19775404015255604 2.0654287144443457
268 2.733410120010376 0.2966308467854225 0.18676768087259055 2.0654287144443457
269 2.743557929992676 0.2966308467854225 0.18676768087259055 2.0654287144443457
