i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z theta_d_x theta_d_y phi_x phi_y dphi_x dphi_y psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y p_x i_x d_x p_y i_y d_y
1 0.11023068428039551 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
2 0.12137794494628906 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
3 0.13247895240783691 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
4 0.14353537559509277 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
5 0.1551520824432373 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
6 0.16666626930236816 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
7 0.1781148910522461 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
8 0.1896960735321045 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
9 0.20127153396606445 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
10 0.21273088455200195 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
11 0.2246384620666504 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
12 0.2363440990447998 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
13 0.2481367588043213 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
14 0.25965285301208496 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
15 0.2710752487182617 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
16 0.28249597549438477 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
17 0.2941000461578369 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
18 0.30559372901916504 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
19 0.3170139789581299 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.5 20 0.02 8.5 20 0.02 0.0 0.0 0.0 0.0 0.0 0.0
