i t_now Tx Ty Tz u1 u2 u3 theta_x theta_y theta_z psi_1 psi_2 psi_3 dpsi_1 dpsi_2 dpsi_3 e_x e_y abort kp_x ki_x kd_x kp_y ki_y kd_y cost autotune steer_active
1 0.11029839515686035 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
2 0.12135553359985352 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
3 0.13246703147888184 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
4 0.1433854103088379 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
5 0.15495562553405762 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
6 0.16669011116027832 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
7 0.17827558517456055 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
8 0.19013428688049316 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
9 0.20154786109924316 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
10 0.21291494369506836 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
11 0.2287578582763672 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
12 0.24031734466552734 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
13 0.25162601470947266 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
14 0.2629520893096924 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
15 0.27443647384643555 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
16 0.28601789474487305 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
17 0.29729652404785156 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
18 0.3085825443267822 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
19 0.3214719295501709 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
20 0.3329131603240967 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
21 0.3442699909210205 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
22 0.35567283630371094 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
23 0.3671236038208008 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
24 0.37869834899902344 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
25 0.39008545875549316 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
26 0.40166354179382324 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
27 0.4129762649536133 0.0 0.0 0.0 -0.0 -0.0 -0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 8.6 0.17 0.02 8.6 0.17 0.02 inf 0.0 0.0
